TT vs 86o | 0.770000 0.230000
TT vs 76s | 0.737500 0.262500
TT vs 76o | 0.812500 0.187500
99 vs AA | 0.257500 0.742500
99 vs KK | 0.275000 0.725000
99 vs QQ | 0.245000 0.755000
99 vs JJ | 0.297500 0.702500
99 vs TT | 0.230000 0.770000
99 vs 99 | 0.497500 0.502500
99 vs 88 | 0.732500 0.267500
99 vs 77 | 0.735000 0.265000
99 vs 66 | 0.742500 0.257500
99 vs AKs | 0.497500 0.502500
99 vs AKo | 0.472500 0.527500
99 vs AQs | 0.430000 0.570000
99 vs AQo | 0.485000 0.515000
99 vs AJs | 0.435000 0.565000
99 vs AJo | 0.495000 0.505000
99 vs ATs | 0.480000 0.520000
99 vs ATo | 0.465000 0.535000
99 vs A9s | 0.477500 0.522500
99 vs A9o | 0.555000 0.445000
99 vs A8s | 0.580000 0.420000
99 vs A8o | 0.632500 0.367500
99 vs A7s | 0.580000 0.420000
99 vs A7o | 0.615000 0.385000
99 vs A6s | 0.572500 0.427500
99 vs A6o | 0.682500 0.317500
99 vs KQs | 0.462500 0.537500
99 vs KQo | 0.467500 0.532500
99 vs KJs | 0.460000 0.540000
99 vs KJo | 0.487500 0.512500
99 vs KTs | 0.485000 0.515000
99 vs KTo | 0.482500 0.517500
99 vs K9s | 0.517500 0.482500
99 vs K9o | 0.572500 0.427500
99 vs K8s | 0.542500 0.457500
99 vs K8o | 0.582500 0.417500
99 vs K7s | 0.617500 0.382500
99 vs K7o | 0.707500 0.292500
99 vs K6s | 0.557500 0.442500
99 vs K6o | 0.637500 0.362500
99 vs QJs | 0.477500 0.522500
99 vs QJo | 0.492500 0.507500
99 vs QTs | 0.497500 0.502500
99 vs QTo | 0.520000 0.480000
99 vs Q9s | 0.500000 0.500000
99 vs Q9o | 0.545000 0.455000
99 vs Q8s | 0.587500 0.412500
99 vs Q8o | 0.595000 0.405000
99 vs Q7s | 0.645000 0.355000
99 vs Q7o | 0.600000 0.400000
99 vs Q6s | 0.615000 0.385000
99 vs Q6o | 0.607500 0.392500
99 vs JTs | 0.492500 0.507500
99 vs JTo | 0.477500 0.522500
99 vs J9s | 0.445000 0.555000
99 vs J9o | 0.462500 0.537500
99 vs J8s | 0.555000 0.445000
99 vs J8o | 0.635000 0.365000
99 vs J7s | 0.602500 0.397500
99 vs J7o | 0.662500 0.337500
99 vs J6s | 0.617500 0.382500
99 vs J6o | 0.645000 0.355000
99 vs T9s | 0.490000 0.510000
99 vs T9o | 0.465000 0.535000
