AKo vs 65s | 50.00% 50.00%
AKo vs 65o | 60.00% 40.00%
AKo vs 64s | 50.00% 50.00%
AKo vs 64o | 60.00% 40.00%
AKo vs 63s | 70.00% 30.00%
AKo vs 63o | 80.00% 20.00%
AKo vs 62s | 40.00% 60.00%
AKo vs 62o | 90.00% 10.00%
AKo vs 55 | 60.00% 40.00%
AKo vs 54s | 70.00% 30.00%
AKo vs 54o | 60.00% 40.00%
AKo vs 53s | 70.00% 30.00%
AKo vs 53o | 50.00% 50.00%
AKo vs 52s | 70.00% 30.00%
AKo vs 52o | 60.00% 40.00%
AKo vs 44 | 10.00% 90.00%
AKo vs 43s | 50.00% 50.00%
AKo vs 43o | 60.00% 40.00%
AKo vs 42s | 50.00% 50.00%
AKo vs 42o | 70.00% 30.00%
AKo vs 33 | 60.00% 40.00%
AKo vs 32s | 80.00% 20.00%
AKo vs 32o | 70.00% 30.00%
AKo vs 22 | 70.00% 30.00%
AQs vs AQs | 50.00% 50.00%
AQs vs AQo | 45.00% 55.00%
AQs vs AJs | 90.00% 10.00%
AQs vs AJo | 65.00% 35.00%
AQs vs ATs | 60.00% 40.00%
AQs vs ATo | 70.00% 30.00%
AQs vs A9s | 60.00% 40.00%
AQs vs A9o | 90.00% 10.00%
AQs vs A8s | 70.00% 30.00%
AQs vs A8o | 95.00% 5.00%
AQs vs A7s | 70.00% 30.00%
AQs vs A7o | 80.00% 20.00%
AQs vs A6s | 65.00% 35.00%
AQs vs A6o | 60.00% 40.00%
AQs vs A5s | 85.00% 15.00%
AQs vs A5o | 90.00% 10.00%
AQs vs A4s | 90.00% 10.00%
AQs vs A4o | 85.00% 15.00%
AQs vs A3s | 65.00% 35.00%
AQs vs A3o | 45.00% 55.00%
AQs vs A2s | 90.00% 10.00%
AQs vs A2o | 55.00% 45.00%
AQs vs KK | 30.00% 70.00%
AQs vs KQs | 60.00% 40.00%
AQs vs KQo | 90.00% 10.00%
AQs vs KJs | 80.00% 20.00%
AQs vs KJo | 70.00% 30.00%
AQs vs KTs | 55.00% 45.00%
AQs vs KTo | 60.00% 40.00%
AQs vs K9s | 60.00% 40.00%
AQs vs K9o | 70.00% 30.00%
AQs vs K8s | 80.00% 20.00%
AQs vs K8o | 50.00% 50.00%
AQs vs K7s | 70.00% 30.00%
AQs vs K7o | 40.00% 60.00%
AQs vs K6s | 50.00% 50.00%
AQs vs K6o | 50.00% 50.00%
AQs vs K5s | 60.00% 40.00%
AQs vs K5o | 60.00% 40.00%
AQs vs K4s | 80.00% 20.00%
AQs vs K4o | 60.00% 40.00%
AQs vs K3s | 70.00% 30.00%
AQs vs K3o | 80.00% 20.00%
AQs vs K2s | 70.00% 30.00%
AQs vs K2o | 70.00% 30.00%
AQs vs QQ | 20.00% 80.00%
AQs vs QJs | 70.00% 30.00%
AQs vs QJo | 80.00% 20.00%
AQs vs QTs | 60.00% 40.00%
AQs vs QTo | 70.00% 30.00%
AQs vs Q9s | 90.00% 10.00%
AQs vs Q9o | 80.00% 20.00%
AQs vs Q8s | 60.00% 40.00%
AQs vs Q8o | 50.00% 50.00%
AQs vs Q7s | 50.00% 50.00%
AQs vs Q7o | 80.00% 20.00%
AQs vs Q6s | 70.00% 30.00%
AQs vs Q6o | 60.00% 40.00%
AQs vs Q5s | 90.00% 10.00%
AQs vs Q5o | 60.00% 40.00%
AQs vs Q4s | 75.00% 25.00%
AQs vs Q4o | 80.00% 20.00%
AQs vs Q3s | 100.00% 0.00%
AQs vs Q3o | 100.00% 0.00%
AQs vs Q2s | 70.00% 30.00%
AQs vs Q2o | 80.00% 20.00%
AQs vs JJ | 60.00% 40.00%
AQs vs JTs | 50.00% 50.00%
AQs vs JTo | 80.00% 20.00%
AQs vs J9s | 65.00% 35.00%
AQs vs J9o | 90.00% 10.00%
AQs vs J8s | 40.00% 60.00%
AQs vs J8o | 70.00% 30.00%
AQs vs J7s | 70.00% 30.00%
AQs vs J7o | 80.00% 20.00%
AQs vs J6s | 60.00% 40.00%
AQs vs J6o | 70.00% 30.00%
AQs vs J5s | 80.00% 20.00%
AQs vs J5o | 70.00% 30.00%
AQs vs J4s | 70.00% 30.00%
AQs vs J4o | 90.00% 10.00%
AQs vs J3s | 50.00% 50.00%
AQs vs J3o | 70.00% 30.00%
AQs vs J2s | 90.00% 10.00%
AQs vs J2o | 70.00% 30.00%
AQs vs TT | 40.00% 60.00%
AQs vs T9s | 60.00% 40.00%
AQs vs T9o | 60.00% 40.00%
AQs vs T8s | 20.00% 80.00%
AQs vs T8o | 70.00% 30.00%
AQs vs T7s | 90.00% 10.00%
AQs vs T7o | 90.00% 10.00%
AQs vs T6s | 60.00% 40.00%
AQs vs T6o | 80.00% 20.00%
AQs vs T5s | 90.00% 10.00%
AQs vs T5o | 80.00% 20.00%
AQs vs T4s | 45.00% 55.00%
AQs vs T4o | 90.00% 10.00%
AQs vs T3s | 80.00% 20.00%
AQs vs T3o | 90.00% 10.00%
AQs vs T2s | 40.00% 60.00%
AQs vs T2o | 100.00% 0.00%
AQs vs 99 | 75.00% 25.00%
AQs vs 98s | 80.00% 20.00%
AQs vs 98o | 60.00% 40.00%
AQs vs 97s | 60.00% 40.00%
AQs vs 97o | 70.00% 30.00%
AQs vs 96s | 80.00% 20.00%
AQs vs 96o | 80.00% 20.00%
AQs vs 95s | 80.00% 20.00%
AQs vs 95o | 40.00% 60.00%
AQs vs 94s | 75.00% 25.00%
AQs vs 94o | 70.00% 30.00%
AQs vs 93s | 70.00% 30.00%
AQs vs 93o | 40.00% 60.00%
AQs vs 92s | 40.00% 60.00%
AQs vs 92o | 70.00% 30.00%
AQs vs 88 | 30.00% 70.00%
AQs vs 87s | 50.00% 50.00%
AQs vs 87o | 70.00% 30.00%
AQs vs 86s | 70.00% 30.00%
AQs vs 86o | 80.00% 20.00%
AQs vs 85s | 60.00% 40.00%
AQs vs 85o | 60.00% 40.00%
AQs vs 84s | 50.00% 50.00%
AQs vs 84o | 90.00% 10.00%
AQs vs 83s | 70.00% 30.00%
AQs vs 83o | 50.00% 50.00%
AQs vs 82s | 90.00% 10.00%
AQs vs 82o | 80.00% 20.00%
AQs vs 77 | 50.00% 50.00%
AQs vs 76s | 50.00% 50.00%
AQs vs 76o | 80.00% 20.00%
AQs vs 75s | 55.00% 45.00%
AQs vs 75o | 70.00% 30.00%
AQs vs 74s | 100.00% 0.00%
AQs vs 74o | 90.00% 10.00%
AQs vs 73s | 60.00% 40.00%
AQs vs 73o | 80.00% 20.00%
AQs vs 72s | 60.00% 40.00%
AQs vs 72o | 50.00% 50.00%
AQs vs 66 | 90.00% 10.00%
AQs vs 65s | 70.00% 30.00%
AQs vs 65o | 60.00% 40.00%
AQs vs 64s | 80.00% 20.00%
AQs vs 64o | 60.00% 40.00%
AQs vs 63s | 50.00% 50.00%
AQs vs 63o | 80.00% 20.00%
AQs vs 62s | 50.00% 50.00%
AQs vs 62o | 70.00% 30.00%
AQs vs 55 | 40.00% 60.00%
AQs vs 54s | 60.00% 40.00%
AQs vs 54o | 45.00% 55.00%
AQs vs 53s | 50.00% 50.00%
AQs vs 53o | 60.00% 40.00%
AQs vs 52s | 50.00% 50.00%
AQs vs 52o | 70.00% 30.00%
AQs vs 44 | 35.00% 65.00%
AQs vs 43s | 50.00% 50.00%
AQs vs 43o | 60.00% 40.00%
AQs vs 42s | 60.00% 40.00%
AQs vs 42o | 100.00% 0.00%
AQs vs 33 | 20.00% 80.00%
AQs vs 32s | 50.00% 50.00%
AQs vs 32o | 90.00% 10.00%
AQs vs 22 | 60.00% 40.00%
AQo vs AQo | 45.00% 55.00%
AQo vs AJs | 80.00% 20.00%
AQo vs AJo | 90.00% 10.00%
AQo vs ATs | 80.00% 20.00%
AQo vs ATo | 70.00% 30.00%
AQo vs A9s | 90.00% 10.00%
AQo vs A9o | 75.00% 25.00%
